ward_id,area_sqkm,hospitals_min,schools_min,transport_node_min,highway_access_min
1,22.5,9.22,79.64,111.65,2.52
2,22.43,7.37,20.98,88.29,0.28
3,21.89,9.39,48.96,78.39,1.24
4,21.63,5.42,15.93,46.98,1.41
5,18.67,8.04,67.81,136.13,2.61
6,16.24,4.31,4.24,134.34,2.22
7,15.19,6.21,81.18,114.97,5.35
8,12.18,3.3,10.5,83.61,3.17
9,11.21,5.7,50.94,94.18,45.0
10,10.55,3.59,39.58,62.28,0.0
11,10.37,3.18,19.76,14.24,1.25
12,10.19,2.86,19.11,53.03,1.03
13,9.13,3.64,17.24,52.44,1.17
14,9.12,3.37,24.32,67.69,0.42
15,9.11,3.44,5.53,36.36,2.56
16,8.95,3.96,14.76,96.09,3.76
17,8.54,3.61,22.38,48.79,2.14
18,8.36,4.26,53.15,57.94,0.57
19,7.8,3.94,40.41,30.96,1.11
