ward_id,hospitals_min,schools_min,transport_node_min,flood_risk_pct,building_density_pct,Score_Health,Score_Edu,Score_Mobility,Score_Safety,UOI_Score
1,5.06,60.87,83.44,52.48,1.42,99.85,0.0,38.54,0.0,7.95
2,3.83,12.24,90.55,19.85,2.33,100.0,81.9,34.19,60.3,65.19
3,4.07,52.53,70.62,31.21,3.58,100.0,0.0,34.53,35.79,19.06
4,3.47,35.61,78.08,23.31,1.94,100.0,23.48,31.42,52.41,45.49
5,2.27,24.23,25.86,23.54,2.04,100.0,51.92,64.24,51.9,65.54
6,3.66,14.57,154.49,66.88,0.84,100.0,76.08,40.0,0.0,23.77
7,7.54,69.58,117.31,12.86,2.88,93.65,0.0,40.0,74.28,23.25
8,2.72,41.44,70.73,41.62,3.67,100.0,8.9,40.0,14.93,28.43
9,3.07,14.17,94.59,45.32,2.14,100.0,77.08,40.0,8.29,41.63
10,3.14,5.6,55.62,56.95,3.64,100.0,98.5,40.0,0.0,25.34
11,3.72,10.35,44.87,67.34,1.95,100.0,86.62,40.0,0.0,24.54
12,5.19,20.11,125.76,79.7,4.62,99.52,62.22,40.0,0.0,22.59
13,6.34,21.29,55.8,23.42,0.93,96.65,59.28,40.0,52.69,60.0
14,3.68,44.58,30.96,57.36,1.56,100.0,1.05,52.43,0.0,10.26
15,13.21,73.19,185.34,49.37,2.22,79.47,0.0,40.0,0.15,7.85
16,11.54,90.29,125.51,35.77,0.65,83.65,0.0,36.91,28.14,17.49
17,5.42,22.19,85.61,71.53,2.05,98.95,57.02,40.0,0.0,22.08
18,3.71,18.39,40.24,49.0,2.81,100.0,66.53,40.0,0.6,25.84
19,11.28,53.51,85.89,41.29,1.37,84.3,0.0,38.42,16.74,15.63
