Rank,ward_id,UOI_Score,PCA_Score,time_hospital,time_school,time_transport
1,12,100,3.019,5.081613326236267,81.80597951254974,72.93711281604291
2,10,88.9,2.465,6.638072343606738,53.5904258415321,70.06933493496008
3,4,79.8,2.011,10.264792237954657,65.50032148193215,23.408792019598256
4,16,54.3,0.735,5.885481546167628,62.58454451440909,16.830428896664095
5,11,47.8,0.409,1.9942407649494365,48.01269046605186,44.57162397065115
6,19,44.8,0.26,5.525327882974078,25.761141672235325,35.81848420874535
7,5,43.1,0.173,0.7841884301114801,55.74071158600487,39.08323157335624
8,9,39.1,-0.025,4.112003099082507,27.16838679007132,35.44919836486959
9,1,38.9,-0.039,1.3510577376626602,63.527779240845966,22.714076228100406
10,3,37.3,-0.119,3.5388475712810985,41.25774619600574,24.726848078865643
11,8,35.1,-0.229,1.9838880570880504,47.30821715032429,26.548701218017367
12,2,31.3,-0.416,1.4155557274814177,45.486341966192334,26.259436039846538
13,15,29.7,-0.497,2.0719755369488597,40.68371484499146,23.627506332676525
14,18,28.3,-0.566,1.9243694717557227,38.96391289591864,23.994977309831704
15,6,27.8,-0.59,3.571205892436095,25.609583940571973,23.70371807277784
16,13,12,-1.383,2.206397371199604,9.37198687019215,22.808003407027545
17,7,8.3,-1.57,1.4407507792359666,0,30.071772935579837
18,17,6.5,-1.656,1.9245025012193375,14.84764855416937,12.105629422339778
19,14,0,-1.983,1.3927671890683972,11.28157988373028,8.918597447293765
