name,type,latitude,longitude
SSG Hospital,Government,22.3045,73.1932
GMERS Gotri,Government,22.3142,73.1495
Jamnabai General Hospital,Government,22.3005,73.2162
Mental Hospital,Government,22.3176,73.1987
Railway Hospital,Government,22.2815,73.2109
UPHC Chhani,UPHC,22.3533,73.1751
UPHC Sama,UPHC,22.3414,73.1932
UHC Tandlaja,UHC,22.2872,73.1487
UHC Akota,UHC,22.2975,73.1633
UHC Atladara,UHC,22.2690,73.1460
UHC Bavchavad,UHC,22.3005,73.2208
UHC Danteshwar,UHC,22.2765,73.2045
UHC Ektanagar,UHC,22.3080,73.2410
UHC Fatehpura,UHC,22.3160,73.2105
UHC Gajarawadi,UHC,22.2925,73.2240
UHC Gorwa,UHC,22.3330,73.1555
UHC Gotri,UHC,22.3120,73.1380
UHC Kapurai,UHC,22.2620,73.2455
UHC Makarpura,UHC,22.2485,73.1810
UHC Manjalpur,UHC,22.2760,73.1945
UHC Navayard,UHC,22.3455,73.1710
UHC Navidharti,UHC,22.3115,73.2065
UHC Old Padra Road,UHC,22.2930,73.1610
UHC Panchvati,UHC,22.3275,73.1620
UHC Ramdevnagar,UHC,22.3025,73.2340
UHC Sawad,UHC,22.3290,73.2060
UHC Tarsali,UHC,22.2545,73.2120
UHC Yamunamil,UHC,22.2910,73.2145
UPHC Navapura,UPHC,22.3015,73.2030
Jubelibaug UHC,UHC,22.3008,73.2085
