name,type,latitude,longitude
Govt Technical High School,State Govt,22.2982,73.1985
Kendriya Vidyalaya No 1 Harni,Central Govt,22.3385,73.2252
Kendriya Vidyalaya No 2 EME,Central Govt,22.3310,73.1925
Kendriya Vidyalaya ONGC,Central Govt,22.2655,73.1980
Kendriya Vidyalaya No 3 AFS,Central Govt,22.2450,73.2120
Shree Sayaji High School,Grant-in-Aid,22.3025,73.2110
Maharani Chimnabai High School,Grant-in-Aid,22.3032,73.2045
MS University Experimental School,Grant-in-Aid,22.3135,73.1815
Baroda High School Bagikhana,Grant-in-Aid,22.2995,73.2010
Jeevan Sadhana High School,Grant-in-Aid,22.3125,73.2050
Hill Memorial High School,Grant-in-Aid,22.3190,73.1865
Shreyas Vidyalaya,Grant-in-Aid,22.2785,73.1910
Sardar Vinay Mandir,Grant-in-Aid,22.3150,73.2025
Utkarsh Vidyalaya,Grant-in-Aid,22.3145,73.1415
