ward_id,generation_method,seed_method,num_wards,crs,hospitals_min,schools_min,transport_node_min,highway_access_min,building_density_pct,bus_stop_density,bus_access_score,Score_Health,Score_Edu,Score_Mobility,UOI_Score,flood_exposure_pct,Low_Opportunity,High_Flood_Risk,High_Density,CVI,local_moran_I,spatial_lag_uoi,num_neighbors,lisa_cluster,global_moran_I,global_moran_p,spatial_weights,mean_uoi,ede_kappa_0_5,ede_kappa_1_0,ede_kappa_2_0,inequality_penalty_k1
1,Road-density-informed Voronoi,KMeans on road midpoints,19,EPSG:32643,9.22,79.64,111.65,2.52,1.36,2.9781705865800063,0.0516386679392347,0.026033690658499253,0.020015596568754956,0.4085832007635408,5.97,44.76,0.9400044277175116,0.4392621475704859,0.09167446211412536,0.33735542329760393,0.36676063579642215,0.8117625406749125,4,Not Significant,0.089,0.141,KNN-4 (row-standardized),0.593,0.566,0.538,0.479,0.055
2,Road-density-informed Voronoi,KMeans on road midpoints,19,EPSG:32643,7.37,20.98,88.29,0.28,3.05,1.2483544516099796,0.0216452883147905,0.3093415007656969,0.7824278658695087,0.41049828409998546,46.32,82.15,0.4933584237325659,1.0,0.24976613657623947,0.4987868192394271,-0.0389734206053365,-0.26327344760642163,4,Not Significant,0.089,0.141,KNN-4 (row-standardized),0.593,0.566,0.538,0.479,0.055
3,Road-density-informed Voronoi,KMeans on road midpoints,19,EPSG:32643,9.39,48.96,78.39,1.24,1.2,0.0,0.0,0.0,0.4187678710683651,0.3889777777777778,0.55,38.41,1.0,0.3440311937612477,0.07670720299345182,0.29939961564024015,0.27436803281933175,0.6756994362677791,4,Not Significant,0.089,0.141,KNN-4 (row-standardized),0.593,0.566,0.538,0.479,0.055
4,Road-density-informed Voronoi,KMeans on road midpoints,19,EPSG:32643,5.42,15.93,46.98,1.41,1.08,2.404278935755881,0.0416879282054044,0.6079632465543645,0.8480634260462698,0.4124794235899093,59.69,15.47,0.3453619659065752,0.0,0.06548175865294668,0.028449691744157377,-0.05844174694726833,-0.7218975130524672,4,Not Significant,0.089,0.141,KNN-4 (row-standardized),0.593,0.566,0.538,0.479,0.055
5,Road-density-informed Voronoi,KMeans on road midpoints,19,EPSG:32643,8.04,67.81,136.13,2.61,1.95,6.750551873868638,0.1170482000567958,0.206738131699847,0.1737717702105538,0.4470289200340775,25.23,50.4,0.7268098295328758,0.5238452309538092,0.14686623012160896,0.3836831475762375,-0.1996806954836401,-0.2987136364016639,4,Not Significant,0.089,0.141,KNN-4 (row-standardized),0.593,0.566,0.538,0.479,0.055
6,Road-density-informed Voronoi,KMeans on road midpoints,19,EPSG:32643,4.31,4.24,134.34,2.22,0.87,4.186188372268133,0.0725845565263199,0.7779479326186831,1.0,0.42381740058245865,69.08,66.13,0.24142129732123097,0.7597480503899219,0.04583723105706268,0.20517964645326764,-0.26652831604174326,-1.182334814843787,4,Not Significant,0.089,0.141,KNN-4 (row-standardized),0.593,0.566,0.538,0.479,0.055
7,Road-density-informed Voronoi,KMeans on road midpoints,19,EPSG:32643,6.21,81.18,114.97,5.35,2.67,1.8427339695709173,0.0319512683335891,0.4869831546707505,0.0,0.371615205444598,0.57,18.43,0.9997786141244188,0.04439112177564485,0.21421889616463988,0.21382727952591157,-0.7050965521491548,-0.6926024550092614,4,Not Significant,0.089,0.141,KNN-4 (row-standardized),0.593,0.566,0.538,0.479,0.055
8,Road-density-informed Voronoi,KMeans on road midpoints,19,EPSG:32643,3.3,10.5,83.61,3.17,2.1,12.564831141454828,0.2178623165341343,0.9326186830015314,0.9186378996620743,0.5025396121427028,75.51,43.53,0.17024573832189505,0.42081583683263346,0.16089803554724044,0.226983738205565,-0.02646083808077114,-0.03764557652246979,4,Not Significant,0.089,0.141,KNN-4 (row-standardized),0.593,0.566,0.538,0.479,0.055
9,Road-density-informed Voronoi,KMeans on road midpoints,19,EPSG:32643,5.7,50.94,94.18,45.0,0.38,2.4979701107045336,0.0433124447773601,0.5650842266462481,0.39303353262282315,0.025987466866416058,17.94,52.37,0.8075049811822006,0.5533893221355728,0.0,0.076530141963859,-0.5090331780269638,-0.7662541877074194,4,Not Significant,0.089,0.141,KNN-4 (row-standardized),0.593,0.566,0.538,0.479,0.055
10,Road-density-informed Voronoi,KMeans on road midpoints,19,EPSG:32643,3.59,39.58,62.28,0.0,1.53,11.758107699260169,0.20387449322475,0.888208269525268,0.540681050168963,0.52232469593485,63.07,51.42,0.30794775293336285,0.5391421715656869,0.10757717492984097,0.26264988893729024,0.0976189397443191,0.7080689179354722,4,Not Significant,0.089,0.141,KNN-4 (row-standardized),0.593,0.566,0.538,0.479,0.055
