Ward_ID,Identified_Area,Full_Address
13.0,Nava Bazaar,"Laxmi Vilas Rao Palace, Dandia Bazaar Road, Nava Bazaar, Vadodara, Vadodara Rural Taluka, Vadodara, Gujarat, 390001, India"
16.0,Unknown Area,"Vadodara Rural Taluka, Vadodara, Gujarat, 390004, India"
14.0,Nava Bazaar,"Nava Bazaar, Vadodara, Vadodara Rural Taluka, Vadodara, Gujarat, 390001, India"
15.0,Unknown Area,"Vadodara Rural Taluka, Vadodara, Gujarat, 390019, India"
6.0,Nava Bazaar,"Nava Bazaar, Vadodara, Vadodara Rural Taluka, Vadodara, Gujarat, 390001, India"
7.0,Nava Bazaar,"Nava Bazaar, Vadodara, Vadodara Rural Taluka, Vadodara, Gujarat, 390001, India"
12.0,Unknown Area,"Vadodara, Vadodara South Taluka, Vadodara, Gujarat, 390001, India"
17.0,SH11,"Bharatiya Vidya Bhavan School, SH11, Vadodara, Vadodara Rural Taluka, Vadodara, Gujarat, 390001, India"
18.0,Unknown Area,"Vadodara Rural Taluka, Vadodara, Gujarat, 390010, India"
19.0,Unknown Area,"Vadodara Rural Taluka, Vadodara, Gujarat, 390013, India"
5.0,Unknown Area,"Vadodara Rural Taluka, Vadodara, Gujarat, 390019, India"
4.0,Unknown Area,"Vadodara Rural Taluka, Vadodara, Gujarat, 390022, India"
3.0,Unknown Area,"Vadodara Rural Taluka, Vadodara, Gujarat, 390008, India"
2.0,Unknown Area,"Vadodara Rural Taluka, Vadodara, Gujarat, 390024, India"
1.0,Unknown Area,"Vadodara Rural Taluka, Vadodara, Gujarat, 391740, India"
8.0,Gorwa,"Gorwa, Vadodara, Vadodara North Taluka, Vadodara, Gujarat, 390001, India"
9.0,Gotri,"Gotri, Vadodara Rural Taluka, Vadodara, Gujarat, 391101, India"
10.0,Bhayli,"Bhayli, Vadodara, Vadodara Rural Taluka, Vadodara, Gujarat, 390001, India"
11.0,Saiyed Vasna,"Saiyed Vasna, Vadodara Rural Taluka, Vadodara, Gujarat, 390015, India"
